	Hits
ERR3586747	6.230801090437805
ERR3586748	6.421042621446707
ERR3586749	6.396501828007735
ERR3586750	6.487328490890153
ERR3586751	6.067474620749139
ERR3586752	6.4170537743388
ERR3586753	6.4088376624822345
ERR3586754	6.4174396975216705
ERR3586755	6.415273481815873
ERR3586756	6.2494078963967326
ERR3586757	6.240910653120612
ERR3586758	6.252365140443593
ERR3586759	6.238758769880771
ERR3586760	6.124646600765104
ERR3586761	6.110023150615227
ERR3586762	6.129646890816557
ERR3586763	6.122133558729408
ERR3586764	6.192526391409296
ERR3586765	6.1922217826278
ERR3586766	6.192642270774895
ERR3586767	6.189774743322929
ERR3586768	6.1539973519639535
ERR3586769	6.150192236115711
ERR3586770	6.149561684620113
ERR3586771	6.149048048230961
ERR3586772	6.364691008116284
ERR3586773	6.369252293804702
ERR3586774	6.36472675850105
ERR3586775	6.365666313393955
ERR3586776	6.252942197602602
ERR3586777	6.2520089809657575
ERR3586778	6.261029456870141
ERR3586779	6.252300892118225
ERR3586780	6.236009061527315
ERR3586781	6.231191558444173
ERR3586782	6.237245554992966
ERR3586783	6.2383088737114045
ERR3586784	6.222524924112664
ERR3586785	6.212729566859623
ERR3586786	6.19171258670597
ERR3586787	6.188370058504087
ERR3586788	6.198419327802514
ERR3586789	6.385667235574452
ERR3586790	6.361776078510426
ERR3586791	6.367419760666634
ERR3586792	6.364771943995688
ERR3586793	6.115484415330769
ERR3586794	6.120316185388554
ERR3586795	6.124421421878635
ERR3586796	6.126918132964688
ERR3586797	6.12181832125317
ERR3586798	6.1107001553017755
ERR3586799	6.1232233892003896
ERR3586800	6.117032826680942
ERR3586801	6.413156805131542
ERR3586802	6.379785747774475
ERR3586803	6.375548244992374
ERR3586804	6.37873361700465
ERR3586805	6.279305400136571
ERR3586806	6.273182323384731
ERR3586807	6.279781338677375
ERR3586808	6.276054407077844
ERR3586809	6.307490854022856
ERR3586810	6.317689408760414
ERR3586811	6.310081686829443
ERR3586812	6.309960496127793
ERR3586813	6.271204698806867
ERR3586814	6.271466399353979
ERR3586815	6.274489200935998
ERR3586816	6.275952651456237
ERR3586817	6.157735137138252
ERR3586818	6.158200044838889
ERR3586819	6.157662682402674
ERR3586820	6.161123577850275
ERR3586821	6.2007726534844165
ERR3586822	6.199044074587486
ERR3586823	6.199134838354719
ERR3586824	6.2014109218223155
ERR3586825	6.293300652643114
ERR3586826	6.281127450134527
ERR3586827	6.295374238673669
ERR3586828	6.283452463893308
ERR3586829	6.1729140199231045
ERR3586830	6.147101499004844
ERR3586831	6.158905495767466
ERR3586832	6.148409048000718
ERR3586833	6.3848473937472505
ERR3586834	6.294434488658495
ERR3586835	6.294287511480724
ERR3586836	6.297263288035402
ERR3586837	6.298907923943491
ERR3586838	6.306152922139429
ERR3586839	6.303075352758579
ERR3586840	6.356632934237247
ERR3586841	6.359519808139861
ERR3586842	6.361341391357247
ERR3586843	6.356277906662186
ERR3586844	6.367683324751907
ERR3586845	6.36164610838512
ERR3586846	6.580760859177943
ERR3586847	6.577553895668929
ERR3586848	6.581456249438466
ERR3586849	6.582749777646106
ERR3586850	6.584261250368648
ERR3586851	6.582484475630335
ERR3586852	6.369145000671998
ERR3586853	6.368539176570216
ERR3586854	6.37073098478414
ERR3586855	6.370487139532925
ERR3586856	6.377108292136737
ERR3586857	6.374929444911003
ERR3586858	6.260649182939659
ERR3586859	6.265457988874873
ERR3586860	6.264574324498994
ERR3586861	6.262818628666465
ERR3586862	6.270913058602176
ERR3586863	6.268435606048647
ERR3586864	6.267923823721908
ERR3586865	6.260067444857355
ERR3586866	6.0783246811340055
ERR3586867	6.0708522422187015
ERR3586868	6.075685100804584
ERR3586869	6.066577659291943
ERR3586870	6.07314718821897
ERR3586871	6.081643973794968
ERR3586872	6.073504094310114
ERR3586873	6.066746824182186
ERR3586874	6.25390646372407
ERR3586875	6.247153806012996
ERR3586876	6.250087086813001
ERR3586877	6.249623823300039
ERR3586878	6.253389393652291
ERR3586879	6.257730714788303
ERR3586880	6.255203098673543
ERR3586881	6.254274852235191
ERR3586882	6.2141464042541585
ERR3586883	6.212709424507405
ERR3586884	6.206259931857631
ERR3586885	6.214650443306624
ERR3586886	6.210812168180653
ERR3586887	6.217063599118977
ERR3586888	6.222847133512525
ERR3586889	6.216072023121333
ERR3586890	6.46441760719895
ERR3586891	6.0752044660205975
ERR3586892	6.517111385245303
ERR3586893	6.381652184076966
ERR3586894	6.207691361273397
ERR3586895	6.455330554796939
ERR3586896	6.112487278457486
ERR3586897	6.293620574658299
ERR3586898	6.40708999076194
ERR3586899	5.59389800396122
ERR3586900	6.2500810581576465
ERR3586901	6.20250289555156
ERR3586902	5.912247614080483
ERR3586903	6.299843672977099
ERR3586904	6.302833368534365
ERR3586905	6.305663821315775
ERR3586906	6.291945399536287
ERR3586907	6.303672505713449
ERR3586908	6.29475626014624
ERR3586909	6.295410677360612
ERR3586910	6.2982020108408445
ERR3586911	6.180379600854901
ERR3586912	6.1840432048040865
ERR3586913	6.181082693463191
ERR3586914	6.19168945233205
ERR3586915	6.182629980494327
ERR3586916	6.178273118040584
ERR3586917	6.174284850796697
ERR3586918	6.180975347930571
ERR3586919	6.23072354271765
ERR3586920	6.225606262406693
ERR3586921	6.223508266058578
ERR3586922	6.225760835481284
ERR3586923	6.224021377870006
ERR3586924	6.227599053070685
ERR3586925	6.227152515352318
ERR3586926	6.222485198796256
ERR3586927	6.100824167845833
ERR3586928	6.107557814835234
ERR3586929	6.10021310947404
ERR3586930	6.1055724546278904
ERR3586931	6.10122227469849
ERR3586932	6.111133305515117
ERR3586933	6.111146281548535
ERR3586934	6.103345677861078
ERR3586935	6.126878648219452
ERR3586936	6.272181564109212
ERR3586937	6.246553409475706
ERR3586938	6.2402012547743775
ERR3586939	6.210922467739309
ERR3586940	6.182093977502927
ERR3586941	6.367870559940089
ERR3586942	6.174335666355955
ERR3586943	6.20151686676427
ERR3586944	6.392451093953187
ERR3586945	6.1756134780437355
ERR3586946	6.1865209345185095
ERR3586947	6.334624903124429
ERR3586948	6.329383274175917
ERR3586949	6.442756070074842
ERR3586950	6.2586497359247595
ERR3586951	6.541694900169008
ERR3586952	6.168513595962419
ERR3586953	6.363512621178326
ERR3586954	6.142367862454327
ERR3586955	6.287236869771417
ERR3586956	6.370420480893698
ERR3586957	6.369188982991914
ERR3586958	6.108832610492888
ERR3586959	6.080224440690065
ERR3586960	6.190007003148617
ERR3586961	6.406198875310802
ERR3586962	6.133337863201443
ERR3586963	6.185318305689289
ERR3586964	6.117953547077319
ERR3586965	6.171787126004206
ERR3586966	6.1208593940044915
ERR3586967	6.351350407777697
ERR3586968	6.444546450964979
ERR3586969	6.052273764625506
ERR3586970	6.368996145877889
ERR3586971	6.3586683174669805
ERR3586972	6.216806023206821
ERR3586973	6.159540906774024
ERR3586974	6.209069159247922
ERR3586975	6.174649702431256
ERR3586976	6.412407508348203
ERR3586977	6.265514217729559
ERR3586978	6.4570635702095345
ERR3586979	6.239144441841506
ERR3586980	6.171944564187683
ERR3586981	6.1791468509426295
ERR3586982	6.158681641776352
ERR3586983	6.129592400143408
ERR3586984	6.263872305089996
ERR3586985	6.471932328888963
ERR3586986	6.387339076066513
ERR3586987	5.97173653833418
ERR3586988	6.3706051416168785
ERR3586989	6.428912598824242
ERR3586990	6.353032531599389
ERR3586991	6.165393656772269
ERR3586992	6.1296829372963435
ERR3586993	6.277696039676064
ERR3586994	6.2720958344554045
ERR3586995	6.2342007606170196
ERR3586996	6.180353433379027
ERR3586997	6.4093987104521455
ERR3586998	6.448458187552184
ERR3586999	6.250641801000585
ERR3587000	6.156718608239507
ERR3587001	6.440352127383191
ERR3587002	6.280581570776254
ERR3587003	6.2004499445322505
ERR3587004	6.48786335769914
ERR3587005	6.11276679612512
ERR3587006	6.184204984904861
ERR3587007	6.14479065712739
ERR3587008	6.057727668614346
ERR3587009	6.187015508052769
ERR3587010	6.0565569939248975
ERR3587011	6.24482901272472
ERR3587012	6.127280502865199
ERR3587013	6.191672353753798
ERR3587014	6.112043932779664
ERR3587015	6.280083901649732
ERR3587016	6.348644932368228
ERR3587017	6.573382997581211
ERR3587018	6.293509842586766
ERR3587019	6.112706280812621
ERR3587020	6.357895719615316
ERR3587021	6.176956581477353
ERR3587022	6.2151619350843506
ERR3587023	6.085916486199257
ERR3587024	6.153254096354864
ERR3587025	6.3823589088261015
ERR3587026	6.262721393814244
ERR3587027	6.256625532979146
ERR3587028	6.071314188847031
ERR3587029	6.298696828747283
ERR3587030	6.23105059950058
ERR3587031	6.211662698447341
ERR3587032	6.426126702761384
ERR3587033	6.2518198927859014
ERR3587034	6.211761200627725
ERR3587035	6.126839281216978
ERR3587036	6.1372153239305955
ERR3587037	6.268532941058865
ERR3587038	6.274307533685924
ERR3587039	6.237138602729246
ERR3587040	6.197792879564569
ERR3587041	6.257050097876722
ERR3587042	6.2089699240068175
ERR3587043	6.167443411704135
ERR3587044	6.364662801270342
ERR3587045	6.1623855315620055
ERR3587046	6.204331333555653
ERR3587047	6.40221375169239
ERR3587048	6.1782704002381745
ERR3587049	6.187881806718709
ERR3587050	6.3416880450862
ERR3587051	6.3371914627596455
ERR3587052	6.403046129175483
ERR3587053	6.445075509911806
ERR3587054	6.248842858657013
ERR3587055	6.525488852190228
ERR3587056	6.158885368300485
ERR3587057	6.363042619573759
ERR3587058	6.143463488373436
ERR3587059	6.272509091817376
ERR3587060	6.368894550920686
ERR3587061	6.362510977113216
ERR3587062	6.571629701849593
ERR3587063	6.091194423408472
ERR3587064	6.514404095162296
ERR3587065	6.383169745728382
ERR3587066	6.19809649275791
ERR3587067	6.4468146571388
ERR3587068	6.106441108897109
ERR3587069	6.340058310931244
ERR3587070	6.090955318907553
ERR3587071	6.258197331008059
ERR3587072	6.439557072764064
ERR3587073	6.280232339562923
ERR3587074	6.312905396191442
ERR3587075	6.2728775483478625
ERR3587076	6.18990845175401
ERR3587077	6.306224967069174
ERR3587078	6.481230571067817
ERR3587079	6.403349145996301
ERR3587080	5.993431504407214
ERR3587081	6.385588570021899
ERR3587082	6.4364852013541975
ERR3587083	6.365468712536152
ERR3587084	6.4116598868050785
ERR3587085	6.4280598353510525
ERR3587086	6.138324711159497
ERR3587087	6.1957311500939385
ERR3587088	6.146905900234427
ERR3587089	6.190975170581256
ERR3587090	6.3468742667482125
ERR3587091	6.455906640565305
ERR3587092	6.059952459944672
ERR3587093	6.366017624768532
ERR3587094	6.362922469736646
ERR3587095	6.161485351568246
ERR3587096	6.213308537738277
ERR3587097	6.182332707183851
ERR3587098	6.421180917385727
ERR3587099	6.271512976379138
ERR3587100	6.467247860895246
ERR3587101	6.2343662287980255
ERR3587102	6.17268335714792
ERR3587103	6.17011563445312
ERR3587104	6.138968387878414
ERR3587105	6.255077875723868
ERR3587106	6.205794040943111
ERR3587107	6.37730757190096
ERR3587108	6.160078552542295
ERR3587109	6.294900576943058
ERR3587110	6.3888908687674295
ERR3587111	6.256273115764175
ERR3587112	6.260907830879754
ERR3587113	6.060834044700868
ERR3587114	6.225926424110558
ERR3587115	6.212783680310116
ERR3587116	6.253585828667641
ERR3587117	6.040025487548178
ERR3587118	6.312759849071374
ERR3587119	6.340944466887868
ERR3587120	6.2421969252334675
ERR3587121	6.1842575153286035
ERR3587122	6.500069515147743
ERR3587123	6.277934723738621
ERR3587124	6.32161397754705
ERR3587125	6.148422692230607
ERR3587126	6.316655601068674
ERR3587127	6.2171311815987345
ERR3587128	6.244930133874981
ERR3587129	6.4427980135578276
ERR3587130	6.055258592994528
ERR3587131	6.489853029375407
ERR3587132	6.567268172104133
ERR3587133	6.425321662643717
ERR3587134	6.450111706508099
ERR3587135	6.399196964571452
ERR3587136	6.311981993910519
ERR3587137	6.3838573453240635
ERR3587138	6.320976153675804
ERR3587139	6.607172180528451
ERR3587140	6.4713855945642305
ERR3587141	6.383969161415103
ERR3587142	6.23992706734614
ERR3587143	6.178008413514044
ERR3587144	6.1994453651774135
ERR3587145	6.354895495393983
ERR3587146	6.301349177281753
ERR3587147	6.424279651673897
ERR3587148	6.245866591105129
ERR3587149	6.4933356597230905
ERR3587150	6.377901294897747
ERR3587151	6.139017807150648
ERR3587152	6.062595666977529
ERR3587153	6.1403006257831665
ERR3587154	6.254691938199739
ERR3587155	6.296329897350465
ERR3587156	6.37725858711947
ERR3587157	6.576676233183289
ERR3587158	6.423865883491726
ERR3587159	6.304652492774078
ERR3587160	6.300492954892823
ERR3587161	6.206506169921328
ERR3587162	6.294353173363682
ERR3587163	6.325599433543028
ERR3587164	6.04237504172901
ERR3587165	6.4938149870800865
ERR3587166	6.19947688720641
ERR3587167	6.20449108499699
ERR3587168	6.415019779647682
ERR3587169	6.495841882097961
ERR3587170	6.1839570974149005
ERR3587171	6.33708784864724
ERR3587172	6.3498387545377275
ERR3587173	6.244446996308081
ERR3587174	6.4335737859350415
ERR3587175	6.2686760767665435
ERR3587176	6.058419954899182
ERR3587177	6.223376789220842
ERR3587178	6.25537924311903
ERR3587179	6.052548360006057
ERR3587180	6.369607548425195
ERR3587181	6.160345897479557
ERR3587182	6.390360265730251
ERR3587183	6.373486185882367
ERR3587184	6.237026533701717
ERR3587185	6.1871955832496885
ERR3587186	6.195407702999082
ERR3587187	6.326107321515393
ERR3587188	6.255611021711983
ERR3587189	6.487427066596834
ERR3587190	6.269340447265072
ERR3587191	6.328801503513361
ERR3587192	6.608895382482573
ERR3587193	6.479455261831289
ERR3587194	6.240374220402575
ERR3587195	6.306948294591591
ERR3587196	6.38940230192661
ERR3587197	6.260307296687343
ERR3587198	6.237275101098217
ERR3587199	6.1591144908201265
ERR3587200	6.236529199153328
ERR3587201	6.26934034445826
ERR3587202	6.256389451797141
ERR3587203	6.157732132111166
ERR3587204	6.233686081173329
