	PHB	PHA	PHO	PCL	PVA	PU	PPL	P3HP	P4HB	PEA	PES	O-PVA	PBS	PLA	P(3HB-co-3MP)	PEG	PHBV	PHPV	Nylon	PBSA	PET	PE	PBS-Blend	PBSA-Blend	P3HV	PBAT	PEF	PMCL	LDPE	PS	NR
ERR1001626	73.32591281885044	134.24567372138023	0.0	35.92229062337622	0.3703328930244971	14.072649934930892	0.18516644651224856	0.5554993395367457	0.5554993395367457	0.5554993395367457	33.329960372204745	0.0	24.256804493104564	64.4379233862625	0.0	316.26429064292057	37.03328930244972	0.0	8.887989432587931	52.40210436296635	24.997470279153557	2.2219973581469827	0.0	0.0	28.51563276288628	33.51512681871699	0.0	0.0	19.997976223322844	30.737630121033263	0.7406657860489942
ERR1001627	12.278030381882179	17.81518133841728	0.0	6.0186423440598915	0.24074569376239566	16.12996148208051	0.0	0.0	0.0	0.0	2.888948325148748	0.0	1.444474162574374	21.907858132378003	0.0	400.84158011438876	5.5371509565351005	0.0	6.740879425347078	11.796538994357388	19.500401194754048	0.24074569376239566	0.0	0.0	4.0926767939607265	21.907858132378003	0.0	0.0	6.0186423440598915	13.24101315693176	0.0
ERR1328122	14.93020470849169	20.902286591888366	0.0	10.890266963840999	0.35129893431745157	15.80845204428532	0.0	0.0	0.0	0.0	3.6886388103332415	0.0	0.5269484014761773	23.888327533586704	0.17564946715872579	307.73786646208754	6.499030284872854	0.0	5.0938345476030475	8.079875489301386	19.672740321777287	0.35129893431745157	0.0	0.0	2.8103914745396126	18.61884351882493	0.0	0.0	2.459092540222161	0.0	0.8782473357936289
ERR1328123	8.448007064605065	11.47465526491633	0.0	5.288319382961438	0.0	9.379283433931608	0.0	0.0	0.0	0.0	2.06211196065163	0.0	0.6984572769949069	27.007014710469736	0.0	454.19678926868806	3.0266482003112634	0.0	4.290523272968714	3.5255462553076256	13.403727744235596	0.0	0.0	0.0	1.6629935166545404	21.253057142845027	0.0	0.0	1.5964737759883587	0.0	0.03325987033309081
ERR1328124	10.116983284740451	12.093865076011575	0.0	5.465496717043692	0.0	10.23327044893287	0.0	0.0	0.0	0.0	2.3257432838483796	0.0	1.5117331345014469	29.304365376489585	0.0	466.07895408321525	1.9768817912711227	0.0	5.000348060274016	4.884060896081597	13.373023882128184	0.0	0.0	0.0	1.1628716419241898	22.79228418171412	0.0	0.0	1.1628716419241898	0.0	0.0
ERR1328125	16.090888572898052	21.063583000674125	0.0	8.115812603823215	0.28147326949675894	12.244087223109013	0.046912211582793156	0.18764884633117263	0.18764884633117263	0.18764884633117263	2.439435002305244	0.0	0.5160343274107247	20.453724250097814	0.5160343274107247	290.99644844806596	5.1134310625244535	0.0	4.878870004610488	7.552866064829698	22.6116859829063	0.37529769266234525	0.0	0.0	3.2369425992127274	20.922846365925746	0.0	0.0	2.1579617328084852	0.0	0.9382442316558631
ERR1328126	6.034605417335687	9.097624833710618	0.0	3.657336616567083	0.7314673233134166	10.514842772630363	0.0	0.045716707707088536	0.045716707707088536	0.045716707707088536	2.468702216182781	0.0	1.3715012312126562	15.680830743531368	0.0	288.7467258779712	3.0173027086678434	0.0	3.657336616567083	4.114503693637968	19.38388406780554	0.0	0.0	0.0	1.8743850159906301	16.59516489767314	0.0	0.0	0.594317200192151	2.0115351391118956	0.045716707707088536
ERR1328127	6.178661939434661	9.26799290915199	0.0	4.119107959623107	0.8581474915881473	9.61125190578725	0.0	0.0	0.0	0.0	2.7460719730820715	0.0	2.0595539798115534	17.849467825033464	0.17162949831762947	303.4409530255689	2.7460719730820715	0.0	4.462366956258366	4.290737457940737	19.05087431325687	0.0	0.0	0.0	2.0595539798115534	15.61828434690428	0.0	0.0	0.8581474915881473	2.574442474764442	0.0
ERR1336911	63.27845311566379	110.79683980289688	0.0	2.8185509229687136	0.0	11.036016289933835	0.0	0.0	0.0	0.0	1.9054992155281443	0.0	0.0	56.053435256786244	0.0	570.4588276487382	47.5183866872331	0.0	5.438612344319912	5.001935440761379	40.33306672867905	0.0	0.0	0.0	45.61288747170495	61.13476649819463	0.0	0.0	6.192872450466469	2.739155122321707	6.589851453701499
ERR1336912	57.07648943099782	102.268157155284	0.0	1.9074405208302612	0.0	8.510119246781166	0.0	0.0	0.0	0.0	1.760714326920241	0.0	0.0	55.169048910167554	0.0	539.3654888132338	45.19166772428619	0.0	3.521428653840482	3.9616072355705425	36.534822283595005	0.0	0.0	0.0	43.43095339736595	56.34285846144771	0.0	0.0	4.841964399030663	3.9616072355705425	6.015773950310824
ERR3562601	17.08664019268331	17.08664019268331	0.0	0.0	0.0	0.0	0.0	8.543320096341654	8.543320096341654	8.543320096341654	8.543320096341654	0.0	0.0	34.17328038536662	0.0	333.1894837573245	0.0	0.0	42.71660048170827	8.543320096341654	8.543320096341654	8.543320096341654	0.0	0.0	0.0	17.08664019268331	0.0	0.0	8.543320096341654	0.0	0.0
ERR3586677	5.6777464628239995	10.78294706385062	0.0	7.299959737916571	0.047712155149781506	7.061398962167663	0.0	0.0	0.0	0.0	4.866639825277714	0.0	4.198669653180773	20.56393886955583	0.0	166.89711871393573	5.105200601026621	0.0	4.9143519804274955	5.868595083423125	10.592098443251494	0.0	0.0	0.0	3.387563015634487	19.371134990811292	0.7633944823965041	0.0	1.5267889647930082	0.4294093963480336	0.7156823272467226
ERR3586678	2.8106910309552924	7.1271093999223485	0.0	6.524818464717643	0.05019091126705879	13.250400574503521	0.20076364506823516	0.20076364506823516	0.20076364506823516	0.20076364506823516	1.8068728056141166	0.0	0.45171820140352914	16.71357345193058	0.0	282.2736849659386	4.3164183689670566	0.0	3.2624092323588214	3.111836498557645	18.31968261247646	0.1505727338011764	0.0	0.0	3.162027409824704	15.709755226589403	0.0	0.0	2.3589728295517634	0.5521000239376467	2.0578273619494105
ERR3586679	3.639177705475485	13.385481215542013	0.0	24.763140248752723	0.04182962879856879	28.65329572701962	0.0	0.04182962879856879	0.04182962879856879	0.04182962879856879	7.069207266958125	0.0	0.6692740607771006	26.812792059882597	0.08365925759713758	439.7548875593537	9.70447388126796	0.0	5.730659145403925	9.453496108476546	40.11461401782747	0.0	0.0	0.0	3.0535629022955217	31.665029000516576	0.20914814399284395	0.0	4.601259167842567	0.8365925759713758	0.7111036895756695
ERR3586680	1.6008251830508529	6.7494250961062985	0.0	18.777246741731627	0.0	19.815619833440287	0.08653109097572177	0.08653109097572177	0.08653109097572177	0.08653109097572177	4.542882276225393	0.0	0.5191865458543307	22.757676926614828	0.08653109097572177	325.1405743412746	5.148599913055445	0.0	3.8073680029317583	7.3118771874484905	25.699734019789368	0.0	0.0	0.0	1.2114352736601048	21.156851743563976	0.0	0.0	2.379605001832349	0.389389909390748	0.3461243639028871
ERR3586681	7.285282751859705	14.507761342065447	0.8792582631554816	8.792582631554817	0.06280416165396298	8.918190954862743	0.0	0.0	0.0	0.0	8.22734517666915	0.0	5.526766225548742	35.358743011181154	0.0	216.79996602948017	6.34322032705026	0.0	11.555965744329187	15.19860712025904	18.464423526265115	0.0	0.0	0.0	3.6426413759298524	33.286205676600375	0.0	0.0	1.5072998796951114	0.6280416165396298	0.37682496992377784
ERR3586682	13.973989320335818	26.813035345618978	0.0	24.75595062333604	0.6384056034671185	27.167705125322932	0.0	0.0	0.0	0.0	4.0432354886250845	0.0	2.9792261495132197	46.532675097158865	0.0	423.1919811427588	12.839046025283162	0.0	5.107244827736948	6.73872581437514	41.709166093185075	0.2837358237631638	0.0	0.0	9.930753831710733	43.76625081546801	2.4826884579276833	0.0	9.221414272302823	0.0	6.809659770315931
ERR3586683	4.14389555717802	12.808404449459333	0.0	33.77902742063295	0.2511451852835163	47.592012611226345	0.0	0.12557259264175816	0.12557259264175816	0.12557259264175816	3.5160325939692285	0.0	0.0	17.20344519192087	0.3767177779252745	222.89135193912074	8.664508892281313	0.0	3.3904600013274706	4.897331113028568	44.452697795182395	0.0	0.0	0.0	5.274048890953843	28.75612371496262	0.0	0.0	4.018322964536261	1.2557259264175817	4.897331113028568
ERR3586684	17.828970904573644	30.716579086531375	0.0	22.77033362718956	0.0	24.640038441152342	0.0	0.0	0.0	0.0	4.006510315634527	0.0	0.46742620349069486	23.104209486825773	0.0	454.6721456525916	12.887608181957729	0.0	3.1384330805803797	6.0097654734517905	29.047199788350323	0.0	0.0	0.0	9.348524069813896	24.372937753443374	0.0	0.0	7.144943396214907	0.06677517192724212	4.473936519125222
ERR3586685	4.132817088327793	9.918761011986703	0.0	6.612507341324469	0.10332042720819483	11.623548060921918	0.0	0.2583010680204871	0.2583010680204871	0.2583010680204871	2.5830106802048705	0.0	0.36162149522868187	20.457444587222575	0.0	302.1089291567617	5.682623496450716	0.0	4.856060078785156	3.409574097870429	15.859685576457906	0.10332042720819483	0.0	0.0	3.5645547386827214	23.40207676265613	0.15498064081229224	0.0	4.029496661119598	0.10332042720819483	2.273049398580286
